home_id,date,event_time,subject_type,subject,metric_code,value,unit,baseline_value,delta_value,baseline_days,data_status,evidence
demo_solo_house009,2023-09-23,2023-09-23 00:00:00,appliance,일반 냉장고,refrigerator_power_active_start_event,1,건,1.5,-0.5,14,source_based_inference_with_synthetic_baseline,가전 원본 사건; action=전력 활성 시작; episode_id=house_009_20230923_ch21_001; phase=report_day; source_file=H009_ch21_20230923.json; source_anchor=labels.active_inactive[0]=2023-09-23 00:00:00.000..2023-09-23 01:00:00.000; source_evidence=AIHome active_inactive power interval; source_home_id=['house_009'] -> output_home_id=demo_solo_house009; 냉장고 전력 활성 사건이며 문 열림/닫힘 사건이 아님; LLM 프롬프트 개발용 임의 14일 기준값=1.5건; 실제 과거 관측 평균이 아님; delta_value=value-baseline_value
demo_solo_house009,2023-09-23,2023-09-23 01:00:00,appliance,일반 냉장고,refrigerator_power_active_end_event,1,건,1.25,-0.25,14,source_based_inference_with_synthetic_baseline,가전 원본 사건; action=전력 활성 종료; episode_id=house_009_20230923_ch21_001; phase=report_day; source_file=H009_ch21_20230923.json; source_anchor=labels.active_inactive[0]=2023-09-23 00:00:00.000..2023-09-23 01:00:00.000; source_evidence=AIHome active_inactive power interval; source_home_id=['house_009'] -> output_home_id=demo_solo_house009; 냉장고 전력 활성 사건이며 문 열림/닫힘 사건이 아님; LLM 프롬프트 개발용 임의 14일 기준값=1.25건; 실제 과거 관측 평균이 아님; delta_value=value-baseline_value
demo_solo_house009,2023-09-23,2023-09-23 01:00:00,appliance,일반 냉장고,refrigerator_episode_duration_minutes,60,분,51,9,14,derived_from_source_events_with_synthetic_baseline,가전 시작·종료 사건에서 계산; episode_id=house_009_20230923_ch21_001; start=2023-09-23 00:00:00; end=2023-09-23 01:00:00; value=(end-start)/60초; 냉장고 전력 활성 시간이며 문 열림 시간이 아님; LLM 프롬프트 개발용 임의 14일 기준값=51분; 실제 과거 관측 평균이 아님; delta_value=value-baseline_value
demo_solo_house009,2023-09-23,2023-09-23 01:09:27.938000,appliance,선풍기,fan_usage_start_event,1,건,1.25,-0.25,14,source_based_inference_with_synthetic_baseline,가전 원본 사건; action=사용 시작; episode_id=house_009_20230923_ch03_001; phase=report_day; source_file=H009_ch03_20230923.json; source_anchor=labels.active_inactive[0]=2023-09-23 01:09:27.938..2023-09-23 03:58:49.997; source_evidence=AIHome active_inactive power interval; source_home_id=['house_009'] -> output_home_id=demo_solo_house009; LLM 프롬프트 개발용 임의 14일 기준값=1.25건; 실제 과거 관측 평균이 아님; delta_value=value-baseline_value
demo_solo_house009,2023-09-23,2023-09-23 01:12:14.914000,appliance,일반 냉장고,refrigerator_power_active_start_event,1,건,1.5,-0.5,14,source_based_inference_with_synthetic_baseline,가전 원본 사건; action=전력 활성 시작; episode_id=house_009_20230923_ch21_002; phase=report_day; source_file=H009_ch21_20230923.json; source_anchor=labels.active_inactive[1]=2023-09-23 01:12:14.914..2023-09-23 08:36:54.200; source_evidence=AIHome active_inactive power interval; source_home_id=['house_009'] -> output_home_id=demo_solo_house009; 냉장고 전력 활성 사건이며 문 열림/닫힘 사건이 아님; LLM 프롬프트 개발용 임의 14일 기준값=1.5건; 실제 과거 관측 평균이 아님; delta_value=value-baseline_value
demo_solo_house009,2023-09-23,2023-09-23 03:58:49.997000,appliance,선풍기,fan_usage_end_event,1,건,1,0,14,source_based_inference_with_synthetic_baseline,가전 원본 사건; action=사용 종료; episode_id=house_009_20230923_ch03_001; phase=report_day; source_file=H009_ch03_20230923.json; source_anchor=labels.active_inactive[0]=2023-09-23 01:09:27.938..2023-09-23 03:58:49.997; source_evidence=AIHome active_inactive power interval; source_home_id=['house_009'] -> output_home_id=demo_solo_house009; LLM 프롬프트 개발용 임의 14일 기준값=1건; 실제 과거 관측 평균이 아님; delta_value=value-baseline_value
demo_solo_house009,2023-09-23,2023-09-23 03:58:49.997000,appliance,선풍기,fan_episode_duration_minutes,169.368,분,186.305,-16.937,14,derived_from_source_events_with_synthetic_baseline,가전 시작·종료 사건에서 계산; episode_id=house_009_20230923_ch03_001; start=2023-09-23 01:09:27.938000; end=2023-09-23 03:58:49.997000; value=(end-start)/60초; LLM 프롬프트 개발용 임의 14일 기준값=186.305분; 실제 과거 관측 평균이 아님; delta_value=value-baseline_value
demo_solo_house009,2023-09-23,2023-09-23 03:58:59.999000,appliance,선풍기,fan_usage_start_event,1,건,1.25,-0.25,14,source_based_inference_with_synthetic_baseline,가전 원본 사건; action=사용 시작; episode_id=house_009_20230923_ch03_002; phase=report_day; source_file=H009_ch03_20230923.json; source_anchor=labels.active_inactive[1]=2023-09-23 03:58:59.999..2023-09-23 09:16:11.900; source_evidence=AIHome active_inactive power interval; source_home_id=['house_009'] -> output_home_id=demo_solo_house009; LLM 프롬프트 개발용 임의 14일 기준값=1.25건; 실제 과거 관측 평균이 아님; delta_value=value-baseline_value
demo_solo_house009,2023-09-23,2023-09-23 04:23:50,behavior,침실-화장실 이동,bedroom_bathroom_transition_observation_event,1,건,1.25,-0.25,14,virtual_timeline_with_synthetic_baseline,행동 원본 사건; location=이동 경로(가상 배치); source_status=CASAS-Aruba:aruba.txt:line15101;original=2010-11-06T04:23:50.544193..2010-11-06T04:27:00.048965;time=date_shifted_clock_preserved;location=virtual;context=activity_label; source_home_id=['demo_solo_house009']; CASAS 날짜 이동 또는 ESP 맥락 재배치를 포함한 가상 타임라인; LLM 프롬프트 개발용 임의 14일 기준값=1.25건; 실제 과거 관측 평균이 아님; delta_value=value-baseline_value
demo_solo_house009,2023-09-23,2023-09-23 04:23:50,behavior,침실-화장실 이동,bedroom_bathroom_transition_source_interval_minutes,3.158,분,3.474,-0.316,14,derived_virtual_interval_with_synthetic_baseline,행동 원본 사건; location=이동 경로(가상 배치); source_status=CASAS-Aruba:aruba.txt:line15101;original=2010-11-06T04:23:50.544193..2010-11-06T04:27:00.048965;time=date_shifted_clock_preserved;location=virtual;context=activity_label; source_home_id=['demo_solo_house009']; CASAS 날짜 이동 또는 ESP 맥락 재배치를 포함한 가상 타임라인; source_status의 original 시작·종료로 계산; 현재 가상 event_time 이후 실제 지속시간을 보장하지 않음; LLM 프롬프트 개발용 임의 14일 기준값=3.474분; 실제 과거 관측 평균이 아님; delta_value=value-baseline_value
